ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2010-08-20,47008435.91635065,41855993.42307459,51554670.55832571,47008435.91635065,47008435.91635065,-358684.466749568,-358684.466749568,-358684.466749568,-358684.466749568,-358684.466749568,-358684.466749568,0.0,0.0,0.0,46649751.44960108
2010-08-27,47017002.08902604,42360366.22365845,52325956.252841525,47017002.08902604,47017002.08902604,254557.52143199358,254557.52143199358,254557.52143199358,254557.52143199358,254557.52143199358,254557.52143199358,0.0,0.0,0.0,47271559.61045803
2010-09-03,47025568.28807834,42047111.93819267,51265609.48331838,47025568.28807834,47025568.28807834,-315383.84859987337,-315383.84859987337,-315383.84859987337,-315383.84859987337,-315383.84859987337,-315383.84859987337,0.0,0.0,0.0,46710184.439478464
2010-09-10,47034134.487130634,39856418.8626578,49539250.393500835,47034134.487130634,47034134.487130634,-2353749.1911780713,-2353749.1911780713,-2353749.1911780713,-2353749.1911780713,-2353749.1911780713,-2353749.1911780713,0.0,0.0,0.0,44680385.295952566
2010-09-17,47042700.68618293,37598375.85318636,47322090.08261053,47042700.68618293,47042700.68618293,-4493228.024618781,-4493228.024618781,-4493228.024618781,-4493228.024618781,-4493228.024618781,-4493228.024618781,0.0,0.0,0.0,42549472.66156415
2010-09-24,47051266.886334546,36930895.46389819,47366018.33132826,47051266.886334546,47051266.886334546,-4991644.641143846,-4991644.641143846,-4991644.641143846,-4991644.641143846,-4991644.641143846,-4991644.641143846,0.0,0.0,0.0,42059622.2451907
2010-10-01,47059833.08648615,38547476.728472225,48158528.01708888,47059833.08648615,47059833.08648615,-3723858.0766247455,-3723858.0766247455,-3723858.0766247455,-3723858.0766247455,-3723858.0766247455,-3723858.0766247455,0.0,0.0,0.0,43335975.00986141
2010-10-08,47068399.286637776,39875507.179515,49516589.300141074,47068399.286637776,47068399.286637776,-2387114.1595463683,-2387114.1595463683,-2387114.1595463683,-2387114.1595463683,-2387114.1595463683,-2387114.1595463683,0.0,0.0,0.0,44681285.12709141
2010-10-15,47076965.48678938,39904133.58677607,49502516.23879943,47076965.48678938,47076965.48678938,-2469905.878525909,-2469905.878525909,-2469905.878525909,-2469905.878525909,-2469905.878525909,-2469905.878525909,0.0,0.0,0.0,44607059.60826348
2010-10-22,47085536.29299846,38946117.99023686,48699668.39660219,47085536.29299846,47085536.29299846,-3393276.7807410033,-3393276.7807410033,-3393276.7807410033,-3393276.7807410033,-3393276.7807410033,-3393276.7807410033,0.0,0.0,0.0,43692259.51225746
2010-10-29,47094107.09920753,39015307.39972657,48310281.30958113,47094107.09920753,47094107.09920753,-3186752.728902631,-3186752.728902631,-3186752.728902631,-3186752.728902631,-3186752.728902631,-3186752.728902631,0.0,0.0,0.0,43907354.3703049
2010-11-05,47102677.90541661,41169706.65416351,51074536.53550758,47102677.90541661,47102677.90541661,-933670.6492457701,-933670.6492457701,-933670.6492457701,-933670.6492457701,-933670.6492457701,-933670.6492457701,0.0,0.0,0.0,46169007.25617084
2010-11-12,47111248.71162568,44381062.1611086,54261339.49597696,47111248.71162568,47111248.71162568,2111977.4830182204,2111977.4830182204,2111977.4830182204,2111977.4830182204,2111977.4830182204,2111977.4830182204,0.0,0.0,0.0,49223226.1946439
2010-11-19,47119819.52124278,46662958.473225914,56198233.75938323,47119819.52124278,47119819.52124278,4251644.275511879,4251644.275511879,4251644.275511879,4251644.275511879,4251644.275511879,4251644.275511879,0.0,0.0,0.0,51371463.79675466
2010-11-26,47128390.33085988,47952947.69603433,57836322.169586234,47128390.33085988,47128390.33085988,5720379.233309575,5720379.233309575,5720379.233309575,5720379.233309575,5720379.233309575,5720379.233309575,0.0,0.0,0.0,52848769.56416945
2010-12-03,47136961.14047698,50670788.875721715,60452712.04914142,47136961.14047698,47136961.14047698,8425244.901576385,8425244.901576385,8425244.901576385,8425244.901576385,8425244.901576385,8425244.901576385,0.0,0.0,0.0,55562206.042053364
2010-12-10,47145532.207464054,55128350.93718956,65131921.232205376,47145532.207464054,47145532.207464054,12959252.78865347,12959252.78865347,12959252.78865347,12959252.78865347,12959252.78865347,12959252.78865347,0.0,0.0,0.0,60104784.996117525
2010-12-17,47154103.27445112,59039011.813246235,68585635.24060275,47154103.27445112,47154103.27445112,16541858.478093283,16541858.478093283,16541858.478093283,16541858.478093283,16541858.478093283,16541858.478093283,0.0,0.0,0.0,63695961.7525444
2010-12-24,47162674.341438204,57262179.63192088,67094713.97373218,47162674.341438204,47162674.341438204,14979901.387773212,14979901.387773212,14979901.387773212,14979901.387773212,14979901.387773212,14979901.387773212,0.0,0.0,0.0,62142575.72921142
2010-12-31,47171245.40842528,49203162.678644575,59307290.51602388,47171245.40842528,47171245.40842528,7117700.745935386,7117700.745935386,7117700.745935386,7117700.745935386,7117700.745935386,7117700.745935386,0.0,0.0,0.0,54288946.15436067
2011-01-07,47179854.19168086,38965276.06183171,48699067.18599498,47179854.19168086,47179854.19168086,-3076271.535619068,-3076271.535619068,-3076271.535619068,-3076271.535619068,-3076271.535619068,-3076271.535619068,0.0,0.0,0.0,44103582.6560618
2011-01-14,47188462.97493644,32468828.158990663,42789755.98355336,47188462.97493644,47188462.97493644,-9476390.575088779,-9476390.575088779,-9476390.575088779,-9476390.575088779,-9476390.575088779,-9476390.575088779,0.0,0.0,0.0,37712072.399847664
2011-01-21,47197071.758192025,32936730.826700307,43052693.2103674,47197071.758192025,47197071.758192025,-9063204.225218572,-9063204.225218572,-9063204.225218572,-9063204.225218572,-9063204.225218572,-9063204.225218572,0.0,0.0,0.0,38133867.53297345
2011-01-28,47205682.6127209,38093942.25640747,47601293.50810337,47205682.6127209,47205682.6127209,-4174682.2718009506,-4174682.2718009506,-4174682.2718009506,-4174682.2718009506,-4174682.2718009506,-4174682.2718009506,0.0,0.0,0.0,43031000.34091995
2011-02-04,47214293.46724976,42311897.53986792,52504947.297259934,47214293.46724976,47214293.46724976,298757.9031760578,298757.9031760578,298757.9031760578,298757.9031760578,298757.9031760578,298757.9031760578,0.0,0.0,0.0,47513051.37042581
2011-02-11,47222904.32177862,43618651.9977824,53525038.66180505,47222904.32177862,47222904.32177862,1501632.816685289,1501632.816685289,1501632.816685289,1501632.816685289,1501632.816685289,1501632.816685289,0.0,0.0,0.0,48724537.13846391
2011-02-18,47231515.17630747,42917077.35746826,52563470.535253435,47231515.17630747,47231515.17630747,293523.64558717737,293523.64558717737,293523.64558717737,293523.64558717737,293523.64558717737,293523.64558717737,0.0,0.0,0.0,47525038.821894646
2011-02-25,47240189.773977734,41512097.08112063,51109544.020370334,47240189.773977734,47240189.773977734,-961044.7422874646,-961044.7422874646,-961044.7422874646,-961044.7422874646,-961044.7422874646,-961044.7422874646,0.0,0.0,0.0,46279145.03169027
2011-03-04,47248864.371647984,41198500.73872752,50744002.02121094,47248864.371647984,47248864.371647984,-1271986.4688791782,-1271986.4688791782,-1271986.4688791782,-1271986.4688791782,-1271986.4688791782,-1271986.4688791782,0.0,0.0,0.0,45976877.902768806
2011-03-11,47257538.96931824,41285388.366058305,50831060.93018691,47257538.96931824,47257538.96931824,-1363885.4518769772,-1363885.4518769772,-1363885.4518769772,-1363885.4518769772,-1363885.4518769772,-1363885.4518769772,0.0,0.0,0.0,45893653.517441265
2011-03-18,47266213.5669885,40698960.75896594,50079629.51246835,47266213.5669885,47266213.5669885,-1858466.525163544,-1858466.525163544,-1858466.525163544,-1858466.525163544,-1858466.525163544,-1858466.525163544,0.0,0.0,0.0,45407747.04182495
2011-03-25,47275443.910390615,40308337.272480875,49939725.008015335,47275443.910390615,47275443.910390615,-2148795.894426303,-2148795.894426303,-2148795.894426303,-2148795.894426303,-2148795.894426303,-2148795.894426303,0.0,0.0,0.0,45126648.015964314
2011-04-01,47284674.25379274,41259257.41956274,51107450.330588594,47284674.25379274,47284674.25379274,-1390940.5420178217,-1390940.5420178217,-1390940.5420178217,-1390940.5420178217,-1390940.5420178217,-1390940.5420178217,0.0,0.0,0.0,45893733.711774915
2011-04-08,47293904.59719486,42662918.66259643,52093701.658874065,47293904.59719486,47293904.59719486,-3692.065901522476,-3692.065901522476,-3692.065901522476,-3692.065901522476,-3692.065901522476,-3692.065901522476,0.0,0.0,0.0,47290212.53129333
2011-04-15,47303751.58650288,43409549.80591804,52859313.983224,47303751.58650288,47303751.58650288,550442.8173418035,550442.8173418035,550442.8173418035,550442.8173418035,550442.8173418035,550442.8173418035,0.0,0.0,0.0,47854194.403844684
2011-04-22,47313598.5758109,42184158.85794379,51635277.415514894,47313598.5758109,47313598.5758109,-474423.38784771744,-474423.38784771744,-474423.38784771744,-474423.38784771744,-474423.38784771744,-474423.38784771744,0.0,0.0,0.0,46839175.18796319
2011-04-29,47323445.56511891,40417160.42306294,50300903.26086529,47323445.56511891,47323445.56511891,-2092648.5308064425,-2092648.5308064425,-2092648.5308064425,-2092648.5308064425,-2092648.5308064425,-2092648.5308064425,0.0,0.0,0.0,45230797.034312464
2011-05-06,47333292.55442693,39481053.090965636,49720203.29325715,47333292.55442693,47333292.55442693,-2665062.6143343574,-2665062.6143343574,-2665062.6143343574,-2665062.6143343574,-2665062.6143343574,-2665062.6143343574,0.0,0.0,0.0,44668229.94009257
2011-05-13,47343152.33936848,40456757.04704745,50342109.769442946,47343152.33936848,47343152.33936848,-1737888.2783359513,-1737888.2783359513,-1737888.2783359513,-1737888.2783359513,-1737888.2783359513,-1737888.2783359513,0.0,0.0,0.0,45605264.061032526
2011-05-20,47353012.124310024,42288026.95563325,52139314.12443652,47353012.124310024,47353012.124310024,-391770.1014351805,-391770.1014351805,-391770.1014351805,-391770.1014351805,-391770.1014351805,-391770.1014351805,0.0,0.0,0.0,46961242.02287485
2011-05-27,47362871.90925157,42413427.87140068,52457950.3203834,47362871.90925157,47362871.90925157,200115.62769135574,200115.62769135574,200115.62769135574,200115.62769135574,200115.62769135574,200115.62769135574,0.0,0.0,0.0,47562987.53694293
2011-06-03,47372741.30442701,42487132.72065166,52204459.769152574,47372741.30442701,47372741.30442701,88444.73368544666,88444.73368544666,88444.73368544666,88444.73368544666,88444.73368544666,88444.73368544666,0.0,0.0,0.0,47461186.03811246
2011-06-10,47382610.699602455,42451196.05666483,52415231.88378663,47382610.699602455,47382610.699602455,154055.9967258863,154055.9967258863,154055.9967258863,154055.9967258863,154055.9967258863,154055.9967258863,0.0,0.0,0.0,47536666.69632834
2011-06-17,47392480.09477789,43215501.08732764,53388519.31558178,47392480.09477789,47392480.09477789,719505.0454687751,719505.0454687751,719505.0454687751,719505.0454687751,719505.0454687751,719505.0454687751,0.0,0.0,0.0,48111985.14024667
2011-06-24,47402349.48995334,43597965.356921665,53655698.825701244,47402349.48995334,47402349.48995334,1083989.5674609696,1083989.5674609696,1083989.5674609696,1083989.5674609696,1083989.5674609696,1083989.5674609696,0.0,0.0,0.0,48486339.05741431
2011-07-01,47412225.2621393,43471925.16317418,53022417.66956036,47412225.2621393,47412225.2621393,530487.6037535107,530487.6037535107,530487.6037535107,530487.6037535107,530487.6037535107,530487.6037535107,0.0,0.0,0.0,47942712.865892805
2011-07-08,47422101.03432524,41713034.11596852,51865483.24609717,47422101.03432524,47422101.03432524,-640903.0613630823,-640903.0613630823,-640903.0613630823,-640903.0613630823,-640903.0613630823,-640903.0613630823,0.0,0.0,0.0,46781197.97296216
2011-07-15,47431976.8065112,41217067.00235518,50957370.455280915,47431976.8065112,47431976.8065112,-1456560.6892521637,-1456560.6892521637,-1456560.6892521637,-1456560.6892521637,-1456560.6892521637,-1456560.6892521637,0.0,0.0,0.0,45975416.11725904
2011-07-22,47441852.57869715,41162786.39448046,51126582.82414839,47441852.57869715,47441852.57869715,-1470808.9942964343,-1470808.9942964343,-1470808.9942964343,-1470808.9942964343,-1470808.9942964343,-1470808.9942964343,0.0,0.0,0.0,45971043.58440072
2011-07-29,47451742.69404063,41074086.75292707,51280683.94169746,47451742.69404063,47451742.69404063,-1170322.902935562,-1170322.902935562,-1170322.902935562,-1170322.902935562,-1170322.902935562,-1170322.902935562,0.0,0.0,0.0,46281419.79110506
2011-08-05,47461632.809384085,41532963.00278926,51260169.66785464,47461632.809384085,47461632.809384085,-1099561.2028140617,-1099561.2028140617,-1099561.2028140617,-1099561.2028140617,-1099561.2028140617,-1099561.2028140617,0.0,0.0,0.0,46362071.60657002
2011-08-12,47471522.924727544,41719523.28549699,51584547.04424718,47471522.924727544,47471522.924727544,-1042059.7114705016,-1042059.7114705016,-1042059.7114705016,-1042059.7114705016,-1042059.7114705016,-1042059.7114705016,0.0,0.0,0.0,46429463.213257045
2011-08-19,47481413.7173622,42151770.54639235,51977039.13987253,47481413.7173622,47481413.7173622,-500016.1000538756,-500016.1000538756,-500016.1000538756,-500016.1000538756,-500016.1000538756,-500016.1000538756,0.0,0.0,0.0,46981397.617308326
2011-08-26,47491304.509996854,42785395.27335425,52771201.876837455,47491304.509996854,47491304.509996854,200164.47927492403,200164.47927492403,200164.47927492403,200164.47927492403,200164.47927492403,200164.47927492403,0.0,0.0,0.0,47691468.989271775
2011-09-02,47501195.302631505,42197712.490945324,52515072.07076384,47501195.302631505,47501195.302631505,-91533.64053470906,-91533.64053470906,-91533.64053470906,-91533.64053470906,-91533.64053470906,-91533.64053470906,0.0,0.0,0.0,47409661.6620968
2011-09-09,47511086.09526616,40976696.96788487,50684568.3326649,47511086.09526616,47511086.09526616,-1925620.92589756,-1925620.92589756,-1925620.92589756,-1925620.92589756,-1925620.92589756,-1925620.92589756,0.0,0.0,0.0,45585465.1693686
2011-09-16,47520976.90009422,38293438.61241484,48229081.1955842,47520976.90009422,47520976.90009422,-4193309.862600466,-4193309.862600466,-4193309.862600466,-4193309.862600466,-4193309.862600466,-4193309.862600466,0.0,0.0,0.0,43327667.03749375
2011-09-23,47530867.70492227,37443636.66131356,47063288.186637804,47530867.70492227,47530867.70492227,-5058789.16246442,-5058789.16246442,-5058789.16246442,-5058789.16246442,-5058789.16246442,-5058789.16246442,0.0,0.0,0.0,42472078.54245785
2011-09-30,47540758.509750344,38652362.335436985,48547069.65563487,47540758.509750344,47540758.509750344,-4016669.7170203943,-4016669.7170203943,-4016669.7170203943,-4016669.7170203943,-4016669.7170203943,-4016669.7170203943,0.0,0.0,0.0,43524088.79272995
2011-10-07,47550649.330219276,39999361.90422604,50135476.42414455,47550649.330219276,47550649.330219276,-2542825.541697788,-2542825.541697788,-2542825.541697788,-2542825.541697788,-2542825.541697788,-2542825.541697788,0.0,0.0,0.0,45007823.78852149
2011-10-14,47560540.15068822,40717989.69830816,49757724.12708738,47560540.15068822,47560540.15068822,-2346760.563350246,-2346760.563350246,-2346760.563350246,-2346760.563350246,-2346760.563350246,-2346760.563350246,0.0,0.0,0.0,45213779.58733798
2011-10-21,47570430.97115717,39514148.05951026,49148589.88188135,47570430.97115717,47570430.97115717,-3253871.1051257886,-3253871.1051257886,-3253871.1051257886,-3253871.1051257886,-3253871.1051257886,-3253871.1051257886,0.0,0.0,0.0,44316559.86603138
2011-10-28,47580321.79162612,39472546.70247916,49030616.4790165,47580321.79162612,47580321.79162612,-3377398.831637613,-3377398.831637613,-3377398.831637613,-3377398.831637613,-3377398.831637613,-3377398.831637613,0.0,0.0,0.0,44202922.959988505
2011-11-04,47590212.607270814,40911180.283863954,51136016.55696555,47590212.607270814,47590212.607270814,-1452324.1376359551,-1452324.1376359551,-1452324.1376359551,-1452324.1376359551,-1452324.1376359551,-1452324.1376359551,0.0,0.0,0.0,46137888.46963486
2011-11-11,47600103.42291551,44201875.54367139,54256396.87062265,47600103.42291551,47600103.42291551,1601374.5747379242,1601374.5747379242,1601374.5747379242,1601374.5747379242,1601374.5747379242,1601374.5747379242,0.0,0.0,0.0,49201477.99765343
2011-11-18,47609994.2385602,47224025.88216484,56582246.48130057,47609994.2385602,47609994.2385602,3959015.245536726,3959015.245536726,3959015.245536726,3959015.245536726,3959015.245536726,3959015.245536726,0.0,0.0,0.0,51569009.48409693
2011-11-25,47619885.054204896,47843285.78855707,57738154.15535279,47619885.054204896,47619885.054204896,5425433.018945389,5425433.018945389,5425433.018945389,5425433.018945389,5425433.018945389,5425433.018945389,0.0,0.0,0.0,53045318.073150285
2011-12-02,47629775.86984959,50178328.27593822,60374646.27189225,47629775.86984959,47629775.86984959,7783533.816979534,7783533.816979534,7783533.816979534,7783533.816979534,7783533.816979534,7783533.816979534,0.0,0.0,0.0,55413309.68682913
2011-12-09,47639666.68549429,54455839.85155886,64953413.511116706,47639666.68549429,47639666.68549429,12097819.378935196,12097819.378935196,12097819.378935196,12097819.378935196,12097819.378935196,12097819.378935196,0.0,0.0,0.0,59737486.064429484
2011-12-16,47649557.501138985,58626432.80706907,69243657.15789533,47649557.501138985,47649557.501138985,16173063.589287383,16173063.589287383,16173063.589287383,16173063.589287383,16173063.589287383,16173063.589287383,0.0,0.0,0.0,63822621.09042637
2011-12-23,47659448.31678368,58640642.98348851,68319942.53047301,47659448.31678368,47659448.31678368,15756250.049058493,15756250.049058493,15756250.049058493,15756250.049058493,15756250.049058493,15756250.049058493,0.0,0.0,0.0,63415698.36584218
2011-12-30,47669339.132428385,51788182.67549177,61578690.23409951,47669339.132428385,47669339.132428385,8864896.663874937,8864896.663874937,8864896.663874937,8864896.663874937,8864896.663874937,8864896.663874937,0.0,0.0,0.0,56534235.796303324
2012-01-06,47679229.94807308,41417313.840523295,50690900.675609596,47679229.94807308,47679229.94807308,-1370392.9603561105,-1370392.9603561105,-1370392.9603561105,-1370392.9603561105,-1370392.9603561105,-1370392.9603561105,0.0,0.0,0.0,46308836.98771697
2012-01-13,47689120.76371778,33973921.56240697,43927102.107389614,47689120.76371778,47689120.76371778,-8818157.212922435,-8818157.212922435,-8818157.212922435,-8818157.212922435,-8818157.212922435,-8818157.212922435,0.0,0.0,0.0,38870963.55079535
2012-01-20,47699011.57936247,33290871.52574428,43041335.20109009,47699011.57936247,47699011.57936247,-9593382.451219482,-9593382.451219482,-9593382.451219482,-9593382.451219482,-9593382.451219482,-9593382.451219482,0.0,0.0,0.0,38105629.12814298
2012-01-27,47708902.39500716,37765165.330007195,47497899.485331,47708902.39500716,47708902.39500716,-5154406.262862203,-5154406.262862203,-5154406.262862203,-5154406.262862203,-5154406.262862203,-5154406.262862203,0.0,0.0,0.0,42554496.13214496
2012-02-03,47718793.21065186,42375559.59090437,52475812.61165768,47718793.21065186,47718793.21065186,-290921.83911802137,-290921.83911802137,-290921.83911802137,-290921.83911802137,-290921.83911802137,-290921.83911802137,0.0,0.0,0.0,47427871.37153384
2012-02-10,47728684.026296556,44482395.76417528,53942410.05754922,47728684.026296556,47728684.026296556,1527992.2246846503,1527992.2246846503,1527992.2246846503,1527992.2246846503,1527992.2246846503,1527992.2246846503,0.0,0.0,0.0,49256676.250981204
2012-02-17,47738574.84194125,43425848.232842565,53398286.47624889,47738574.84194125,47738574.84194125,574662.4774516022,574662.4774516022,574662.4774516022,574662.4774516022,574662.4774516022,574662.4774516022,0.0,0.0,0.0,48313237.31939285
2012-02-24,47748465.65758595,41851961.42001681,51604347.01600546,47748465.65758595,47748465.65758595,-806922.1278488722,-806922.1278488722,-806922.1278488722,-806922.1278488722,-806922.1278488722,-806922.1278488722,0.0,0.0,0.0,46941543.52973708
2012-03-02,47758356.47323065,41599606.61627932,51176644.578130096,47758356.47323065,47758356.47323065,-1264283.9173386493,-1264283.9173386493,-1264283.9173386493,-1264283.9173386493,-1264283.9173386493,-1264283.9173386493,0.0,0.0,0.0,46494072.555892006
2012-03-09,47768247.28887535,41447208.931713685,51206238.772143245,47768247.28887535,47768247.28887535,-1320283.9682932375,-1320283.9682932375,-1320283.9682932375,-1320283.9682932375,-1320283.9682932375,-1320283.9682932375,0.0,0.0,0.0,46447963.320582114
2012-03-16,47778138.10452004,41411145.601967506,51187230.504574135,47778138.10452004,47778138.10452004,-1754115.9078217407,-1754115.9078217407,-1754115.9078217407,-1754115.9078217407,-1754115.9078217407,-1754115.9078217407,0.0,0.0,0.0,46024022.1966983
2012-03-23,47788028.920164734,40702131.68985053,50389437.1734823,47788028.920164734,47788028.920164734,-2160275.9125690334,-2160275.9125690334,-2160275.9125690334,-2160275.9125690334,-2160275.9125690334,-2160275.9125690334,0.0,0.0,0.0,45627753.0075957
2012-03-30,47797919.73580943,40969281.550869554,51352466.72489222,47797919.73580943,47797919.73580943,-1605677.6522594003,-1605677.6522594003,-1605677.6522594003,-1605677.6522594003,-1605677.6522594003,-1605677.6522594003,0.0,0.0,0.0,46192242.08355003
2012-04-06,47807810.55145413,42547764.75742992,52516740.57542541,47807810.55145413,47807810.55145413,-234283.65268676137,-234283.65268676137,-234283.65268676137,-234283.65268676137,-234283.65268676137,-234283.65268676137,0.0,0.0,0.0,47573526.89876737
